番号|カテゴリ|名前|色|詳細説明|コード番号|バグチェック
1|入力補助|ID自動採番|なし|B〜K列のいずれかに入力すると、A列が空の場合にV-XXXX形式（4桁連番）のIDを自動採番。ScriptLockによる排他制御で複数端末・担当者が同時入力しても番号は重複しない。IDが抜けた場合はメニュー「ID・車番一括補完」でA列が空の行を全件まとめて採番・補完|コード.js: 3-2|済
2|入力補助|トン数正規化|なし|D列（トン数）に「4t」「4T」「4トン」「4.0t」「4.0」など表記ゆれがあっても「4」の数値に自動変換。CSV取込や手入力での表記ミスによる集計エラーを防ぐ。変換は編集時に即時実行|コード.js: 3-2|済
3|入力補助|車番自動補完|なし|F列（車番）を入力すると全角英数を半角に変換したうえで自車専属マスタと照合。B〜I列（区分・会社名・トン数・車種・車番・乗務員名・携帯番号・看板名）を一括補完。照合は数字部分の完全一致方式。複数行への一括貼り付け・Ctrl+Enter一括入力にも対応。B〜I列（F列以外）に1つでも入力済みの行は補完しない。マスタのB列が「故障」「待機」の車両はスキップ|コード.js: 3-2|済
4|入力補助|車種変換（大文字・半角）|なし|E列（車種）に小文字や全角アルファベット（「truck」「W翼」など）で入力しても自動で大文字・半角に変換して保存。F列（車番）を入力してマスタから自動補完されたとき、マスタ側の車種データも自動で大文字・半角に変換|コード.js: 3-2|済
5|入力補助|車番 全角→半角変換|なし|F列（車番）に全角英数で入力しても自動で半角に変換してセルに書き戻す。マスタ側の車番データが全角でも同様に正規化して照合。照合は数字部分の完全一致方式|コード.js: 3-2|済
6|入力補助|日付への現在時刻付与|なし|J列（日付）に「7/24」や全角「7/24」・スペース混じりで入力しても自動で半角に変換し、今年の日付として認識して保存。時刻なし（00:00:00）で日付が入力されたとき、自動で現在時刻を付与して保存（例：「7/24」→「2026/07/24 14:35」）。端末アプリやCSV取込で日付のみ入力された場合も同様に現在時刻を付与|コード.js: 3-2|済
7|入力補助|時刻の正規化と日付合成|なし|N〜R列（誘導・積完・休憩開始・休憩終了・降完）と点呼前後完了列の時刻入力を自動整形。全角コロン・全角数字は自動で半角に変換して保存。「9:30」のように時刻のみ入力するとJ列の日付と自動合成して「7/24 9:30」形式に統一。「7/15 9:30」のように月日も手入力した場合はそちらを優先|コード.js: 3-2|済
8|自動計算|書式自動設定|なし|売上・請求高速・実費高速・合計高速（S〜V列）にカンマ区切り（#,##0）の数値書式を自動設定。N〜R列と点呼前後完了列に「M/d HH:mm」の時刻書式を自動設定。これらの列を含む範囲を編集したとき、崩れた書式を自動で修復|コード.js: 3-2|済
9|自動計算|請求→実費高速コピー|オレンジ文字|T列（請求高速代）に入力したとき、U列（実費高速代）が空であればオレンジ文字で同じ値が自動コピー。U列を直接手入力すると黒字に戻り、以降T列を変更してもU列は追従しない。U列をDeleteで空欄に戻すと、T列の値がオレンジ文字で再セット。実費が本当に0円の場合は空欄にせず「0」と明示入力すること|コード.js: 3-2|済
10|自動計算|合計高速代 自動計算|なし|T列（請求高速）またはU列（実費高速）に入力すると、V列（合計高速）に自動で差額が計算。請求が実費より多いとき→黒字で差額を表示。実費が請求より多いとき→赤字で差額を表示。請求と実費が同額または両方未入力のとき→V列は空白。V列は自動計算列のため直接入力できず、入力しようとすると元の数式が自動で復元される|コード.js: 3-2|済
11|自動計算|日付変更時の自動ソート|なし|J列（日付）を変更すると、運行シートと集計表の両方が自動で「日付の早い順→同じ日は乗務員名の五十音順」に並び替わる。並び替え後も、行の背景色とファイルリンクは正しく一緒に移動する|コード.js: 3-2, 1-10|済
12|警告・保護|時刻入力の順序チェック|なし|N〜R列（点呼前完了→誘導(N)→積完(O)→休憩開始(P)→休憩終了(Q)→点呼後完了→降完(R)）の入力順序を強制。前の時刻が未入力のまま次の列を入力しようとすると入力内容をクリアして画面下にトースト警告を表示|コード.js: 3-2|済
